obs_p,obs_q,obs_teta
0.0,5.385,0.3030833333333333
0.0,5.364,0.303
0.0,5.364,0.303
0.0,5.301,0.303
0.0,5.301,0.303
0.0,5.238,0.303
0.0,5.217,0.3027291666666666
0.0,5.196,0.3024583333333333
0.0,5.133,0.3021875
0.0,5.092,0.3019166666666666
0.0,5.029,0.3011666666666667
0.0,4.967,0.301
0.0,4.904,0.301
0.0,4.884,0.301
0.0,4.842,0.301
0.0,4.801,0.301
0.0,4.76,0.301
0.0001,4.739,0.3004999999999999
0.0004,4.719,0.2999999999999999
0.0,4.677,0.3002499999999999
0.0005,4.719,0.2999999999999999
0.0,4.76,0.3003333333333333
0.0,4.739,0.3002499999999999
0.0,4.739,0.3000833333333333
0.0,4.739,0.2999999999999999
0.0005,4.76,0.2999999999999999
0.0006,4.801,0.2999999999999999
0.0002,4.801,0.2999999999999999
0.0003,4.863,0.3001666666666666
0.0,4.822,0.3010833333333333
0.0,4.78,0.3015
0.0,4.76,0.3034999999999999
0.0,4.78,0.3039999999999999
0.0,4.801,0.3039999999999999
0.0,4.78,0.3039999999999999
0.0,4.76,0.3039999999999999
0.0,4.719,0.3039999999999999
0.0,4.677,0.3033333333333333
0.0,4.595,0.303
0.0,4.493,0.303
0.0,4.432,0.303
0.0,4.371,0.303
0.0,4.31,0.303
0.0,4.27,0.3025833333333333
0.0,4.189,0.3021666666666667
0.0,4.169,0.302
0.0,4.149,0.302
0.0,4.068,0.302
0.0,4.068,0.302
0.0,4.028,0.302
0.0,4.008,0.3019166666666666
0.0,4.028,0.3012500000000001
0.0,3.968,0.301
0.0,3.928,0.301
0.0,3.928,0.301
0.0,3.948,0.3006666666666666
0.0,3.908,0.2999999999999999
0.0,3.928,0.2999999999999999
0.0,3.849,0.2999999999999999
0.0,3.789,0.2991666666666666
0.0,3.829,0.299
0.0,3.75,0.2989166666666666
0.0,3.592,0.2988333333333333
0.0,3.651,0.2981666666666667
0.0,3.612,0.298
0.0,3.573,0.298
